Département;Circonscription;Députés;Email;Numéro de circonscription;Prénom;Nom;identifiant;Commission;Sign PPL Peytavie;URL3;Région;Profession;Groupe politique (complet);Groupe politique (abrégé);;;
Alpes-de-Haute-Provence;1-Christian Girard;Christian Girard;christian.girard@assemblee-nationale.fr;1;Christian;Girard;793102;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793102;Provence-Alpes-Côte d'Azur;Ancien cadre;Rassemblement National;RN;;;
Ain;3-Olga Givernet;Olga Givernet;olga.givernet@assemblee-nationale.fr, Olga.Givernet@assemblee-nationale.fr;3;Olga;Givernet;718674;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA718674;Auvergne-Rhône-Alpes;Ingénieure aéronautique;Ensemble pour la République;EPR;;;
Côte-d'Or;1-Océane Godard;Océane Godard;oceane.godard@assemblee-nationale.fr;1;Océane;Godard;840939;Affaires sociales;840939;https://www.assemblee-nationale.fr/dyn/deputes/PA840939;Bourgogne-Franche-Comté;Psychologue du travail;Socialistes et apparentés;SOC;;;
Nord;13-Julien Gokel;Julien Gokel;julien.gokel@assemblee-nationale.fr;13;Julien;Gokel;841539;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841539;Hauts-de-France;(45) - Profession intermédiaire administrative de la fonction publique;Socialistes et apparentés;SOC;;;
Pas-de-Calais;5-Antoine Golliot;Antoine Golliot;antoine.golliot@assemblee-nationale.fr;5;Antoine;Golliot;841605;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841605;Hauts-de-France;(47) - Technicien;Rassemblement National;RN;;;
Bouches-du-Rhône;10-José Gonzalez;José Gonzalez;jose.gonzalez@assemblee-nationale.fr;10;José;Gonzalez;793362;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793362;Provence-Alpes-Côte d'Azur;Ancien employé;Rassemblement National;RN;;;
Manche;1-Philippe Gosselin;Philippe Gosselin;philippe.gosselin@assemblee-nationale.fr;1;Philippe;Gosselin;266797;Lois constitutionnelles, de la législation et de l'administration générale de la République;266797;https://www.assemblee-nationale.fr/dyn/deputes/PA266797;Normandie;Maître de conférences à Sciences Po;Droite Républicaine;DR;;;
Gironde;5-Pascale Got;Pascale Got;pascale.got@assemblee-nationale.fr;5;Pascale;Got;331973;Affaires étrangères;331973;https://www.assemblee-nationale.fr/dyn/deputes/PA331973;Nouvelle-Aquitaine;Journaliste;Socialistes et apparentés;SOC;;;
Val-de-Marne;6-Guillaume Gouffier Valente;Guillaume Gouffier Valente;guillaume.gouffier-valente@assemblee-nationale.fr;6;Guillaume;Gouffier Valente;721296;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721296;Ile-de-France;Manager public;Ensemble pour la République;EPR;;;
Nièvre;1-Perrine Goulet;Perrine Goulet;Perrine.Goulet@assemblee-nationale.fr, perrine.goulet@assemblee-nationale.fr;1;Perrine;Goulet;720560;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720560;Bourgogne-Franche-Comté;Autre cadre (secteur privé);Les Démocrates;Dem;;;
Meuse;2-Florence Goulet;Florence Goulet;florence.goulet@assemblee-nationale.fr;2;Florence;Goulet;794418;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794418;Grand Est;Cadre de la fonction publique;Rassemblement National;RN;;;
Doubs;4-Géraldine Grangier;Géraldine Grangier;Aucun email trouvé;4;Géraldine;Grangier;793592;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793592;Bourgogne-Franche-Comté;Profession intermédiaire administrative de la fonction publique;Rassemblement National;RN;;;
Paris;12-Olivia Grégoire;Olivia Grégoire;olivia.gregoire@assemblee-nationale.fr;12;Olivia;Grégoire;721764;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721764;Ile-de-France;Chef d'entreprise;Ensemble pour la République;EPR;;;
Paris;7-Emmanuel Grégoire;Emmanuel Grégoire;emmanuel.gregoire@assemblee-nationale.fr;7;Emmanuel;Grégoire;840171;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840171;Ile-de-France;(37) - Cadre administratif et commercial d'entreprise;Socialistes et apparentés;SOC;;;
Sarthe;5-Jean-Carles Grelier;Jean-Carles Grelier;Jean-Carles.Grelier@assemblee-nationale.fr, jean-carles.grelier@assemblee-nationale.fr;5;Jean-Carles;Grelier;267318;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA267318;Pays de la Loire;Avocat;Les Démocrates;Dem;;;
Yonne;1-Daniel Grenon;Daniel Grenon;daniel.grenon@assemblee-nationale.fr;1;Daniel;Grenon;795540;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795540;Bourgogne-Franche-Comté;Ancien artisan, commerçant, chef d'entreprise;Non inscrit;NI;;;
Bouches-du-Rhône;1-Monique Griseti;Monique Griseti;monique.griseti@assemblee-nationale.fr;1;Monique;Griseti;840757;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840757;Provence-Alpes-Côte d'Azur;(22) - Commerçant et assimilé;Rassemblement National;RN;;;
Jura;3-Justine Gruet;Justine Gruet;justine.gruet@assemblee-nationale.fr;3;Justine;Gruet;794058;Affaires sociales;794058;https://www.assemblee-nationale.fr/dyn/deputes/PA794058;Bourgogne-Franche-Comté;Masseur Kinésithérapeute;Droite Républicaine;DR;;;
Essonne;6-Jérôme Guedj;Jérôme Guedj;jerome.guedj@assemblee-nationale.fr;6;Jérôme;Guedj;1567;Affaires sociales;1567;https://www.assemblee-nationale.fr/dyn/deputes/PA1567;Ile-de-France;Inspecteur général des affaires sociales;Socialistes et apparentés;SOC;;;
Val-de-Marne;2-Clémence Guetté;Clémence Guetté;clemence.guette@assemblee-nationale.fr;2;Clémence;Guetté;795310;Développement durable et de l'aménagement du territoire;795310;https://www.assemblee-nationale.fr/dyn/deputes/PA795310;Ile-de-France;Cadre du secteur privé;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Nièvre;2-Julien Guibert;Julien Guibert;julien.guibert@assemblee-nationale.fr;2;Julien;Guibert;841451;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841451;Bourgogne-Franche-Comté;(46) - Profession intermédiaire administrative et commerciale des entreprises;Rassemblement National;RN;;;
Oise;6-Michel Guiniot;Michel Guiniot;michel.guiniot@assemblee-nationale.fr;6;Michel;Guiniot;794734;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794734;Hauts-de-France;Ancien cadre;Rassemblement National;RN;;;
Nord;8-David Guiraud;David Guiraud;david.guiraud@assemblee-nationale.fr;8;David;Guiraud;794478;Finances, de l'économie générale et du contrôle budgétaire;794478;https://www.assemblee-nationale.fr/dyn/deputes/PA794478;Hauts-de-France;Cadre administratif d'entreprise;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Aube;1-Jordan Guitton;Jordan Guitton;jordan.guitton@assemblee-nationale.fr;1;Jordan;Guitton;793218;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793218;Grand Est;Assistant Parlementaire;Rassemblement National;RN;;;
Saint-Barthélemy et Saint-Martin;1-Frantz Gumbs;Frantz Gumbs;frantz.gumbs@assemblee-nationale.fr;1;Frantz;Gumbs;795258;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795258;Saint-Barthélemy et Saint-Martin;Personnel de direction de l'éducation nationale retraité;Les Démocrates;Dem;;;
Essonne;3-Steevy Gustave;Steevy Gustave;steevy.gustave@assemblee-nationale.fr;3;Steevy;Gustave;842013;Affaires culturelles et de l'éducation;842013;https://www.assemblee-nationale.fr/dyn/deputes/PA842013;Ile-de-France;(35) - Profession de l'information, des arts et des spectacles;Écologiste et Social;EcoS;;;
Pyrénées-Atlantiques;3-David Habib;David Habib;david.habib@assemblee-nationale.fr, David.Habib@assemblee-nationale.fr;3;David;Habib;1592;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA1592;Nouvelle-Aquitaine;Cadre;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Meurthe-et-Moselle;2-Stéphane Hablot;Stéphane Hablot;stephane.hablot@assemblee-nationale.fr;2;Stéphane;Hablot;841471;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841471;Grand Est;Education nationale;Socialistes et apparentés;SOC;;;
Paris;14-Benjamin Haddad;Benjamin Haddad;benjamin.haddad@assemblee-nationale.fr;14;Benjamin;Haddad;795958;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795958;Ile-de-France;Professeur, profession scientifique;Ensemble pour la République;EPR;;;
Val-d'Oise;2-Ayda Hadizadeh;Ayda Hadizadeh;ayda.hadizadeh@assemblee-nationale.fr;2;Ayda;Hadizadeh;842263;Affaires culturelles et de l'éducation;842263;https://www.assemblee-nationale.fr/dyn/deputes/PA842263;Ile-de-France;(37) - Cadre administratif et commercial d'entreprise;Socialistes et apparentés;SOC;;;
Somme;2-Zahia Hamdane;Zahia Hamdane;zahia.hamdane@assemblee-nationale.fr;2;Zahia;Hamdane;841947;Affaires sociales;841947;https://www.assemblee-nationale.fr/dyn/deputes/PA841947;Hauts-de-France;(43) - Profession intermédiaire de la santé et du travail social;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Tarn-et-Garonne;2-Marine Hamelet;Marine Hamelet;marine.hamelet@assemblee-nationale.fr;2;Marine;Hamelet;795900;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795900;Occitanie;Profession intermédiaire administrative et commerciale des entreprises;Rassemblement National;RN;;;
Vendée;5-Pierre Henriet;Pierre Henriet;pierre.henriet@assemblee-nationale.fr, Pierre.Henriet@assemblee-nationale.fr;5;Pierre;Henriet;722070;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722070;Pays de la Loire;Professeur du secondaire et technique;Horizons & Indépendants;HOR;;;
Val-de-Marne;8-Michel Herbillon;Michel Herbillon;michel.herbillon@assemblee-nationale.fr, Michel.Herbillon@assemblee-nationale.fr;8;Michel;Herbillon;1630;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA1630;Ile-de-France;Cadre supérieur;Droite Républicaine;DR;;;
Seine-Maritime;1-Florence Herouin-Léautey;Florence Herouin-Léautey;florence.herouin-leautey@assemblee-nationale.fr;1;Florence;Herouin-Léautey;841813;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841813;Normandie;(33) - Cadre de la fonction publique;Socialistes et apparentés;SOC;;;
Côte-d'Or;2-Catherine Hervieu;Catherine Hervieu;catherine.hervieu@assemblee-nationale.fr;2;Catherine;Hervieu;840947;Défense nationale et des forces armées;840947;https://www.assemblee-nationale.fr/dyn/deputes/PA840947;Bourgogne-Franche-Comté;Psychologue scolaire;Écologiste et Social;EcoS;;;
Paris;11-Céline Hervieu;Céline Hervieu;celine.hervieu@assemblee-nationale.fr;11;Céline;Hervieu;841853;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841853;Ile-de-France;(31) - Profession libérale;Socialistes et apparentés;SOC;;;
Bas-Rhin;7-Patrick Hetzel;Patrick Hetzel;patrick.hetzel@assemblee-nationale.fr, Patrick.Hetzel@assemblee-nationale.fr;7;Patrick;Hetzel;608416;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA608416;Grand Est;Professeur des Universités;Droite Républicaine;DR;;;
Ille-et-Vilaine;4-Mathilde Hignet;Mathilde Hignet;mathilde.hignet@assemblee-nationale.fr;4;Mathilde;Hignet;794082;Développement durable et de l'aménagement du territoire;794082;https://www.assemblee-nationale.fr/dyn/deputes/PA794082;Bretagne;Ouvrière agricole;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Corrèze;1-François Hollande;François Hollande;francois.hollande@assemblee-nationale.fr;1;François;Hollande;1654;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA1654;Nouvelle-Aquitaine;Conseiller référendaire à la Cour des comptes;Socialistes et apparentés;SOC;;;
Vienne;2-Sacha Houlié;Sacha Houlié;sacha.houlie@assemblee-nationale.fr, Sacha.Houlie@assemblee-nationale.fr;2;Sacha;Houlié;722150;Affaires culturelles et de l'éducation;722150;https://www.assemblee-nationale.fr/dyn/deputes/PA722150;Nouvelle-Aquitaine;Avocat;Non inscrit;NI;;;
Eure;5-Timothée Houssin;Timothée Houssin;timothee.houssin@assemblee-nationale.fr;5;Timothée;Houssin;793632;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793632;Normandie;Cadre;Rassemblement National;RN;;;
Vosges;4-Sébastien Humbert;Sébastien Humbert;sebastien.humbert@assemblee-nationale.fr;4;Sébastien;Humbert;842085;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842085;Grand Est;(33) - Cadre de la fonction publique;Rassemblement National;RN;;;
Eure-et-Loir;3-Harold Huwart;Harold Huwart;harold.huwart@assemblee-nationale.fr;3;Harold;Huwart;841017;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841017;Centre-Val de Loire;Administrateur de l'État;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Nord;5-Sébastien Huyghe;Sébastien Huyghe;sebastien.huyghe@assemblee-nationale.fr;5;Sébastien;Huyghe;267200;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA267200;Hauts-de-France;Notaire;Ensemble pour la République;EPR;;;
Isère;5-Jérémie Iordanoff;Jérémie Iordanoff;jeremie.iordanoff@assemblee-nationale.fr;5;Jérémie;Iordanoff;794022;Lois constitutionnelles, de la législation et de l'administration générale de la République;794022;https://www.assemblee-nationale.fr/dyn/deputes/PA794022;Auvergne-Rhône-Alpes;Artiste-peintre;Écologiste et Social;EcoS;;;
Rhône;12-Cyrille Isaac-Sibille;Cyrille Isaac-Sibille;Cyrille.Isaac-Sibille@assemblee-nationale.fr, cyrille.isaac-sibille@assemblee-nationale.fr;12;Cyrille;Isaac-Sibille;722374;Affaires sociales;722374;https://www.assemblee-nationale.fr/dyn/deputes/PA722374;Auvergne-Rhône-Alpes;Médecin;Les Démocrates;Dem;;;
Moselle;8-Laurent Jacobelli;Laurent Jacobelli;laurent.jacobelli@assemblee-nationale.fr;8;Laurent;Jacobelli;794598;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794598;Grand Est;Profession de l'information, des arts et des spectacles;Rassemblement National;RN;;;
Morbihan;6-Jean-Michel Jacques;Jean-Michel Jacques;Jean-Michel.Jacques@assemblee-nationale.fr, jean-michel.jacques@assemblee-nationale.fr;6;Jean-Michel;Jacques;720354;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720354;Bretagne;Infirmier des forces spéciales;Ensemble pour la République;EPR;;;
Val-de-Marne;7-Vincent Jeanbrun;Vincent Jeanbrun;vincent.jeanbrun@assemblee-nationale.fr;7;Vincent;Jeanbrun;842117;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842117;Ile-de-France;(33) - Cadre de la fonction publique;Droite Républicaine;DR;;;
Moselle;5-Pascal Jenft;Pascal Jenft;pascal.jenft@assemblee-nationale.fr;5;Pascal;Jenft;841439;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841439;Grand Est;(21) - Artisan;Rassemblement National;RN;;;
Indre;1-François Jolivet;François Jolivet;francois.jolivet@assemblee-nationale.fr, Francois.Jolivet@assemblee-nationale.fr;1;François;Jolivet;719778;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719778;Centre-Val de Loire;Cadre supérieur (secteur privé);Horizons & Indépendants;HOR;;;
Isère;6-Alexis Jolly;Alexis Jolly;alexis.jolly@assemblee-nationale.fr;6;Alexis;Jolly;794030;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794030;Auvergne-Rhône-Alpes;Commerçant et assimilé;Rassemblement National;RN;;;
Rhône;13-Tiffany Joncour;Tiffany Joncour;Aucun email trouvé;13;Tiffany;Joncour;841749;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841749;Auvergne-Rhône-Alpes;(37) - Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Gard;6-Sylvie Josserand;Sylvie Josserand;sylvie.josserand@assemblee-nationale.fr;6;Sylvie;Josserand;841075;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841075;Occitanie;(31) - Profession libérale;Rassemblement National;RN;;;
Loire-Atlantique;7-Sandrine Josso;Sandrine Josso;sandrine.josso@assemblee-nationale.fr, Sandrine.Josso@assemblee-nationale.fr;7;Sandrine;Josso;720038;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720038;Pays de la Loire;Autre profession libérale;Les Démocrates;Dem;;;
Dordogne;3-Florence Joubert;Florence Joubert;florence.joubert@assemblee-nationale.fr;3;Florence;Joubert;840869;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840869;Nouvelle-Aquitaine;(33) - Cadre de la fonction publique;Rassemblement National;RN;;;
